millis	raw	load
0	444.00	-0.02
0	506.00	-0.02
11	661.00	-0.03
23	707.00	-0.03
34	841.00	-0.04
45	904.00	-0.04
57	738.00	-0.04
68	764.00	-0.04
79	685.00	-0.03
90	858.00	-0.04
102	795.00	-0.04
114	679.00	-0.03
125	746.00	-0.04
136	746.00	-0.04
148	739.00	-0.04
159	812.00	-0.04
170	753.00	-0.04
182	588.00	-0.03
193	630.00	-0.03
205	685.00	-0.03
216	652.00	-0.03
228	687.00	-0.03
239	667.00	-0.03
250	683.00	-0.03
261	668.00	-0.03
273	830.00	-0.04
284	770.00	-0.04
296	776.00	-0.04
307	600.00	-0.03
326	637.00	-0.03
330	729.00	-0.04
341	641.00	-0.03
353	663.00	-0.03
364	665.00	-0.03
375	596.00	-0.03
387	404.00	-0.02
399	495.00	-0.02
410	442.00	-0.02
421	455.00	-0.02
432	565.00	-0.03
444	518.00	-0.03
455	467.00	-0.02
466	361.00	-0.02
478	213.00	-0.01
490	-39.00	0.00
501	-216.00	0.01
512	-541.00	0.03
524	-1124.00	0.05
535	-1609.00	0.08
546	-2346.00	0.11
557	-6272.00	0.31
570	-26303.00	1.28
581	-72034.00	3.51
592	-107422.00	5.24
603	-122766.00	5.99
615	-131974.00	6.44
632	-135143.00	6.59
637	-134149.00	6.54
648	-131248.00	6.40
661	-129033.00	6.29
672	-128700.00	6.28
683	-128295.00	6.26
695	-123895.00	6.04
706	-127837.00	6.23
717	-136025.00	6.63
728	-144499.00	7.05
740	-153579.00	7.49
752	-161665.00	7.88
763	-168447.00	8.21
774	-172876.00	8.43
786	-175507.00	8.56
797	-176944.00	8.63
808	-177764.00	8.67
819	-179056.00	8.73
831	-181140.00	8.83
843	-183200.00	8.93
854	-186258.00	9.08
866	-189540.00	9.24
877	-193174.00	9.42
888	-197605.00	9.64
899	-201256.00	9.81
918	-204949.00	10.00
922	-208651.00	10.18
934	-211178.00	10.30
945	-214551.00	10.46
957	-217500.00	10.61
968	-220118.00	10.73
979	-221959.00	10.82
990	-223954.00	10.92
1002	-226115.00	11.03
1013	-228562.00	11.15
1025	-231358.00	11.28
1037	-233465.00	11.39
1048	-234809.00	11.45
1059	-237042.00	11.56
1070	-238954.00	11.65
1082	-240389.00	11.72
1093	-242582.00	11.83
1104	-242644.00	11.83
1116	-243987.00	11.90
1128	-243854.00	11.89
1139	-244497.00	11.92
1150	-244794.00	11.94
1168	-244795.00	11.94
1173	-244147.00	11.91
1184	-243614.00	11.88
1195	-242539.00	11.83
1208	-241824.00	11.79
1219	-241194.00	11.76
1230	-240502.00	11.73
1241	-239662.00	11.69
1253	-237905.00	11.60
1264	-237241.00	11.57
1275	-235608.00	11.49
1286	-234168.00	11.42
1299	-233122.00	11.37
1310	-232351.00	11.33
1321	-230618.00	11.25
1332	-228287.00	11.13
1344	-226970.00	11.07
1355	-224887.00	10.97
1366	-223086.00	10.88
1378	-220556.00	10.76
1389	-217322.00	10.60
1401	-215700.00	10.52
1412	-214079.00	10.44
1431	-211786.00	10.33
1435	-209605.00	10.22
1446	-206244.00	10.06
1457	-204326.00	9.96
1469	-202187.00	9.86
1480	-198050.00	9.66
1492	-194176.00	9.47
1504	-190222.00	9.28
1515	-186291.00	9.09
1526	-181170.00	8.84
1537	-175958.00	8.58
1549	-171147.00	8.35
1560	-163487.00	7.97
1571	-153654.00	7.49
1583	-144058.00	7.03
1595	-134054.00	6.54
1606	-124559.00	6.07
1617	-114026.00	5.56
1628	-101973.00	4.97
1640	-89710.00	4.38
1651	-77056.00	3.76
1662	-64291.00	3.14
1675	-52097.00	2.54
1692	-41916.00	2.04
1697	-33268.00	1.62
1708	-25448.00	1.24
1720	-22182.00	1.08
1731	-11967.00	0.58
1742	1019.00	-0.05
1753	4216.00	-0.21
1765	4293.00	-0.21
1777	4257.00	-0.21
1788	4313.00	-0.21
1799	4232.00	-0.21
1811	4281.00	-0.21
1822	4295.00	-0.21
1833	4321.00	-0.21
1844	4345.00	-0.21
1856	4328.00	-0.21
1868	4341.00	-0.21
1879	4272.00	-0.21
1891	4285.00	-0.21
1902	4353.00	-0.21
1913	4241.00	-0.21
1924	4335.00	-0.21
1936	4450.00	-0.22
1947	4262.00	-0.21
1959	4077.00	-0.20
1978	4227.00	-0.21
1982	4240.00	-0.21
1993	4256.00	-0.21
2004	4394.00	-0.21
2016	4300.00	-0.21
2027	4227.00	-0.21
2038	4242.00	-0.21
2050	4294.00	-0.21
2062	4292.00	-0.21
2073	4355.00	-0.21
2084	4361.00	-0.21
2095	4458.00	-0.22
2107	4486.00	-0.22
2118	4188.00	-0.20
2129	4251.00	-0.21
2141	4315.00	-0.21
2153	4317.00	-0.21
2164	4243.00	-0.21
2175	4373.00	-0.21
2187	4380.00	-0.21
2198	4491.00	-0.22
2209	4599.00	-0.22
2220	4552.00	-0.22
2232	4414.00	-0.22
2244	4297.00	-0.21
2255	4237.00	-0.21
2273	4267.00	-0.21
2278	4312.00	-0.21
