millis	raw	load
2852	11925.00	-0.58
2864	12053.00	-0.59
2875	12043.00	-0.59
2886	11920.00	-0.58
2898	12165.00	-0.59
2909	12151.00	-0.59
2920	12139.00	-0.59
2931	12217.00	-0.60
2943	12040.00	-0.59
2955	12056.00	-0.59
2966	12101.00	-0.59
2978	12079.00	-0.59
2989	11992.00	-0.58
3000	12018.00	-0.59
3011	12173.00	-0.59
3023	12097.00	-0.59
3034	12082.00	-0.59
3045	12127.00	-0.59
3057	12114.00	-0.59
3069	12050.00	-0.59
3080	12111.00	-0.59
3098	12162.00	-0.59
3102	12231.00	-0.60
3114	12054.00	-0.59
3125	11991.00	-0.58
3136	11959.00	-0.58
3149	11860.00	-0.58
3160	12049.00	-0.59
3171	12172.00	-0.59
3182	12091.00	-0.59
3194	12066.00	-0.59
3205	12095.00	-0.59
3216	12215.00	-0.60
3227	12037.00	-0.59
3239	12082.00	-0.59
3251	12058.00	-0.59
3262	12067.00	-0.59
3273	12087.00	-0.59
3285	12066.00	-0.59
3296	12049.00	-0.59
3307	12053.00	-0.59
3318	12018.00	-0.59
3330	11985.00	-0.58
3342	12095.00	-0.59
3353	12077.00	-0.59
3365	12046.00	-0.59
3382	12061.00	-0.59
3387	12176.00	-0.59
3398	12167.00	-0.59
3410	12026.00	-0.59
3421	11984.00	-0.58
3432	11845.00	-0.58
3444	11964.00	-0.58
3456	12057.00	-0.59
3467	12053.00	-0.59
3478	12130.00	-0.59
3490	12043.00	-0.59
3501	11904.00	-0.58
3512	12008.00	-0.59
3523	12025.00	-0.59
3535	12023.00	-0.59
3547	12131.00	-0.59
3558	12074.00	-0.59
3569	12049.00	-0.59
3581	12047.00	-0.59
3592	12051.00	-0.59
3603	11911.00	-0.58
3614	11841.00	-0.58
3626	11984.00	-0.58
3638	12021.00	-0.59
3656	11970.00	-0.58
3661	12055.00	-0.59
3672	12141.00	-0.59
3683	12130.00	-0.59
3694	12028.00	-0.59
3706	11915.00	-0.58
3717	11979.00	-0.58
3728	11969.00	-0.58
3740	12042.00	-0.59
3752	11939.00	-0.58
3763	11946.00	-0.58
3774	12083.00	-0.59
3785	12066.00	-0.59
3797	11928.00	-0.58
3808	11947.00	-0.58
3819	12055.00	-0.59
3832	12047.00	-0.59
3843	12004.00	-0.59
3854	12057.00	-0.59
3865	12208.00	-0.60
3877	12112.00	-0.59
3888	12066.00	-0.59
3899	12082.00	-0.59
3910	12097.00	-0.59
3922	12061.00	-0.59
3942	12041.00	-0.59
3945	12027.00	-0.59
3956	12130.00	-0.59
3968	11967.00	-0.58
3979	11978.00	-0.58
3990	12052.00	-0.59
4002	12085.00	-0.59
4013	12100.00	-0.59
4025	12125.00	-0.59
4036	11971.00	-0.58
4048	11913.00	-0.58
