millis	raw	load
0	1503.00	-0.07
0	1469.00	-0.07
9	1526.00	-0.07
20	1567.00	-0.08
32	1600.00	-0.08
44	1620.00	-0.08
55	1741.00	-0.08
66	1720.00	-0.08
77	1607.00	-0.08
89	1707.00	-0.08
100	1715.00	-0.08
111	1621.00	-0.08
123	1482.00	-0.07
135	1504.00	-0.07
146	1311.00	-0.06
157	909.00	-0.04
169	2078.00	-0.10
180	1448.00	-0.07
191	1669.00	-0.08
202	1894.00	-0.09
215	1304.00	-0.06
226	1065.00	-0.05
237	1279.00	-0.06
248	1341.00	-0.07
260	1139.00	-0.06
271	1126.00	-0.05
282	1092.00	-0.05
302	849.00	-0.04
306	386.00	-0.02
317	31.00	-0.00
328	-665.00	0.03
340	-2369.00	0.12
351	-8464.00	0.41
362	-47552.00	2.32
373	-149414.00	7.29
386	-216974.00	10.58
397	-243922.00	11.90
408	-266164.00	12.98
419	-291459.00	14.21
431	-326257.00	15.91
442	-344134.00	16.78
453	-358360.00	17.48
464	-383712.00	18.71
477	-408950.00	19.94
488	-426715.00	20.81
499	-435029.00	21.22
511	-440912.00	21.50
522	-443441.00	21.63
533	-450673.00	21.98
544	-458769.00	22.37
556	-467121.00	22.78
568	-475350.00	23.18
585	-486798.00	23.74
590	-498772.00	24.32
602	-504522.00	24.60
613	-512478.00	24.99
624	-524278.00	25.57
635	-534645.00	26.07
647	-554111.00	27.02
659	-572171.00	27.90
670	-576929.00	28.14
682	-581287.00	28.35
693	-587273.00	28.64
704	-590509.00	28.80
715	-595404.00	29.04
727	-601368.00	29.33
738	-595670.00	29.05
749	-592301.00	28.89
761	-583066.00	28.44
773	-576872.00	28.13
784	-572800.00	27.93
795	-573250.00	27.96
807	-569966.00	27.80
818	-552854.00	26.96
829	-540065.00	26.34
848	-527247.00	25.71
853	-506150.00	24.68
864	-494205.00	24.10
875	-481821.00	23.50
886	-460339.00	22.45
898	-431334.00	21.04
909	-406371.00	19.82
920	-383037.00	18.68
931	-358930.00	17.50
944	-337911.00	16.48
955	-318335.00	15.52
966	-298223.00	14.54
978	-278052.00	13.56
989	-261969.00	12.78
1000	-248082.00	12.10
1011	-231197.00	11.28
1023	-213886.00	10.43
1035	-196546.00	9.59
1046	-179513.00	8.75
1057	-161458.00	7.87
1069	-143804.00	7.01
1080	-127273.00	6.21
1091	-111321.00	5.43
1109	-96424.00	4.70
1114	-81569.00	3.98
1126	-67231.00	3.28
1137	-53773.00	2.62
1149	-41103.00	2.00
1160	-34546.00	1.68
1171	-39919.00	1.95
1182	-34909.00	1.70
1194	-24418.00	1.19
1205	-14094.00	0.69
1216	-5548.00	0.27
1228	-887.00	0.04
1240	846.00	-0.04
1251	1827.00	-0.09
1262	2678.00	-0.13
1273	3418.00	-0.17
1285	3614.00	-0.18
1296	3934.00	-0.19
1307	4574.00	-0.22
1320	4680.00	-0.23
1331	4753.00	-0.23
1342	4992.00	-0.24
1353	4956.00	-0.24
1365	5171.00	-0.25
1376	5342.00	-0.26
1395	5284.00	-0.26
1398	5162.00	-0.25
1411	5319.00	-0.26
1422	5457.00	-0.27
1433	5515.00	-0.27
1444	5548.00	-0.27
1456	5627.00	-0.27
1467	5576.00	-0.27
1478	5652.00	-0.28
1490	5868.00	-0.29
1502	5734.00	-0.28
1513	5754.00	-0.28
1524	5750.00	-0.28
1536	5814.00	-0.28
1547	5877.00	-0.29
1558	5893.00	-0.29
1569	6003.00	-0.29
1581	5906.00	-0.29
1592	6004.00	-0.29
1604	6011.00	-0.29
1615	5818.00	-0.28
1627	5885.00	-0.29
1638	5899.00	-0.29
1649	5966.00	-0.29
1661	6044.00	-0.29
1672	5977.00	-0.29
1689	5774.00	-0.28
1695	5863.00	-0.29
1707	5890.00	-0.29
1718	5889.00	-0.29
1729	5827.00	-0.28
1740	6048.00	-0.29
1752	5982.00	-0.29
1763	5903.00	-0.29
1774	5991.00	-0.29
1786	6009.00	-0.29
1798	5929.00	-0.29
1809	5957.00	-0.29
1820	5928.00	-0.29
1832	5895.00	-0.29
1843	5821.00	-0.28
1854	5850.00	-0.29
1865	6147.00	-0.30
1878	6158.00	-0.30
1889	6016.00	-0.29
1900	5969.00	-0.29
1911	5947.00	-0.29
1923	6082.00	-0.30
1934	6163.00	-0.30
1945	6020.00	-0.29
1956	6036.00	-0.29
1969	6178.00	-0.30
1987	6005.00	-0.29
1991	5922.00	-0.29
2003	5918.00	-0.29
2014	5993.00	-0.29
2025	5962.00	-0.29
2036	6052.00	-0.30
2048	5991.00	-0.29
2059	5898.00	-0.29
2071	5969.00	-0.29
2082	6062.00	-0.30
2094	6112.00	-0.30
2105	6068.00	-0.30
2116	5931.00	-0.29
2127	5874.00	-0.29
2139	5924.00	-0.29
2150	5964.00	-0.29
2162	6018.00	-0.29
2174	5941.00	-0.29
2185	6009.00	-0.29
2196	6057.00	-0.30
2207	5863.00	-0.29
2219	5972.00	-0.29
2230	6226.00	-0.30
2241	6210.00	-0.30
2253	6030.00	-0.29
2271	6070.00	-0.30
2276	6097.00	-0.30
2287	6055.00	-0.30
2298	5856.00	-0.29
2310	5941.00	-0.29
2321	5956.00	-0.29
2332	5899.00	-0.29
2345	5932.00	-0.29
2356	5895.00	-0.29
2367	5915.00	-0.29
2378	6049.00	-0.30
2390	6098.00	-0.30
2401	6005.00	-0.29
2412	5937.00	-0.29
2423	5862.00	-0.29
2436	5942.00	-0.29
2447	5959.00	-0.29
2458	5954.00	-0.29
2469	5953.00	-0.29
2481	5859.00	-0.29
2492	5905.00	-0.29
2503	6020.00	-0.29
2515	6024.00	-0.29
2526	6005.00	-0.29
2538	5830.00	-0.28
2549	5802.00	-0.28
2568	5938.00	-0.29
2572	5936.00	-0.29
2583	5821.00	-0.28
2594	5838.00	-0.28
2606	5897.00	-0.29
2617	5877.00	-0.29
2629	6058.00	-0.30
2640	5998.00	-0.29
2652	5836.00	-0.28
2663	5894.00	-0.29
2674	6020.00	-0.29
2686	6006.00	-0.29
2697	5854.00	-0.29
2708	5793.00	-0.28
2720	5930.00	-0.29
2732	5912.00	-0.29
2743	5904.00	-0.29
2754	6014.00	-0.29
2765	5810.00	-0.28
2777	5997.00	-0.29
2788	6064.00	-0.30
2799	5917.00	-0.29
2811	5781.00	-0.28
2823	5823.00	-0.28
2834	5892.00	-0.29
2851	6138.00	-0.30
2857	5929.00	-0.29
2868	5872.00	-0.29
2879	5837.00	-0.28
2890	5952.00	-0.29
2903	6075.00	-0.30
2914	5992.00	-0.29
2925	5879.00	-0.29
2936	6017.00	-0.29
2948	6114.00	-0.30
2959	6055.00	-0.30
2970	6093.00	-0.30
2981	5990.00	-0.29
2994	6000.00	-0.29
3005	5943.00	-0.29
3016	5792.00	-0.28
3028	5743.00	-0.28
3039	5924.00	-0.29
3050	5911.00	-0.29
3061	5924.00	-0.29
3073	5957.00	-0.29
3085	5881.00	-0.29
3096	5856.00	-0.29
3107	6096.00	-0.30
3119	6073.00	-0.30
3130	5851.00	-0.29
3148	5919.00	-0.29
3152	5882.00	-0.29
3164	5928.00	-0.29
3175	6024.00	-0.29
3187	6044.00	-0.29
3199	5953.00	-0.29
3210	5971.00	-0.29
3221	5995.00	-0.29
3232	5996.00	-0.29
3244	5995.00	-0.29
3255	5859.00	-0.29
3266	5898.00	-0.29
3278	5851.00	-0.29
3290	5851.00	-0.29
3301	5934.00	-0.29
3312	5905.00	-0.29
3323	6042.00	-0.29
3335	6121.00	-0.30
3346	6070.00	-0.30
3357	6142.00	-0.30
3370	6168.00	-0.30
3381	5853.00	-0.29
3392	5878.00	-0.29
3403	6016.00	-0.29
3415	5958.00	-0.29
3426	5951.00	-0.29
3570	5771.00	-0.28
3571	5978.00	-0.29
3574	5931.00	-0.29
3586	6195.00	-0.30
3597	5990.00	-0.29
3608	5959.00	-0.29
3619	6069.00	-0.30
3631	6020.00	-0.29
3643	5936.00	-0.29
3654	5877.00	-0.29
3666	5983.00	-0.29
3677	5939.00	-0.29
3688	5914.00	-0.29
3699	6001.00	-0.29
3711	5853.00	-0.29
3722	5903.00	-0.29
3734	5962.00	-0.29
3745	6007.00	-0.29
3757	6065.00	-0.30
3768	6121.00	-0.30
3779	6063.00	-0.30
3790	6044.00	-0.29
3802	5976.00	-0.29
3813	5918.00	-0.29
3825	5989.00	-0.29
3968	5931.00	-0.29
3970	5804.00	-0.28
3973	5994.00	-0.29
3984	6141.00	-0.30
3995	6057.00	-0.30
4008	5949.00	-0.29
