millis	raw	load
0	-649.00	0.03
0	-454.00	0.02
10	-257.00	0.01
23	-264.00	0.01
34	-201.00	0.01
45	-282.00	0.01
56	-224.00	0.01
68	-197.00	0.01
79	-477.00	0.02
90	-303.00	0.01
101	-231.00	0.01
114	-272.00	0.01
125	-307.00	0.01
136	-174.00	0.01
148	-205.00	0.01
159	-272.00	0.01
170	-347.00	0.02
181	-434.00	0.02
193	-178.00	0.01
205	-89.00	0.00
216	-147.00	0.01
227	-357.00	0.02
239	130.00	-0.01
250	149.00	-0.01
261	-333.00	0.02
272	-15.00	0.00
284	86.00	-0.00
295	-491.00	0.02
307	-558.00	0.03
326	-300.00	0.01
330	-441.00	0.02
341	-358.00	0.02
352	-319.00	0.02
364	-352.00	0.02
375	-163.00	0.01
386	-189.00	0.01
398	-266.00	0.01
410	-461.00	0.02
421	-482.00	0.02
432	-516.00	0.03
443	-695.00	0.03
455	-932.00	0.05
466	-1076.00	0.05
477	-1559.00	0.08
490	-2077.00	0.10
501	-3450.00	0.17
512	-10565.00	0.52
523	-42505.00	2.07
535	-80354.00	3.92
546	-88363.00	4.31
557	-88142.00	4.30
569	-93231.00	4.55
581	-101551.00	4.95
592	-109786.00	5.35
603	-117668.00	5.74
614	-124309.00	6.06
634	-131193.00	6.40
637	-137586.00	6.71
648	-142950.00	6.97
661	-148236.00	7.23
672	-153521.00	7.49
683	-159281.00	7.77
694	-166178.00	8.10
706	-172552.00	8.42
717	-179220.00	8.74
728	-183710.00	8.96
739	-187643.00	9.15
752	-192849.00	9.40
763	-198897.00	9.70
774	-205383.00	10.02
785	-213302.00	10.40
797	-220775.00	10.77
808	-226607.00	11.05
819	-234568.00	11.44
831	-243773.00	11.89
843	-250094.00	12.20
854	-254935.00	12.43
865	-260565.00	12.71
877	-265153.00	12.93
888	-269826.00	13.16
905	-274975.00	13.41
910	-279357.00	13.62
922	-282771.00	13.79
934	-286032.00	13.95
945	-288544.00	14.07
956	-290905.00	14.19
968	-295732.00	14.42
979	-299240.00	14.59
990	-301627.00	14.71
1002	-304051.00	14.83
1013	-305923.00	14.92
1025	-307256.00	14.98
1036	-307710.00	15.01
1048	-310379.00	15.14
1059	-311614.00	15.20
1070	-313975.00	15.31
1081	-313539.00	15.29
1093	-314439.00	15.33
1104	-313814.00	15.30
1116	-312348.00	15.23
1128	-310453.00	15.14
1139	-308300.00	15.04
1157	-302554.00	14.76
1161	-297752.00	14.52
1173	-293871.00	14.33
1184	-289588.00	14.12
1195	-285830.00	13.94
1207	-282448.00	13.77
1219	-277961.00	13.56
1230	-271850.00	13.26
1241	-267163.00	13.03
1252	-261454.00	12.75
1264	-254529.00	12.41
1275	-250227.00	12.20
1286	-245448.00	11.97
1297	-240674.00	11.74
1310	-235072.00	11.46
1321	-231591.00	11.29
1332	-226151.00	11.03
1344	-220987.00	10.78
1355	-214707.00	10.47
1366	-210281.00	10.26
1377	-201783.00	9.84
1389	-196861.00	9.60
1401	-191611.00	9.34
1418	-183824.00	8.96
1423	-177175.00	8.64
1435	-170961.00	8.34
1446	-165648.00	8.08
1457	-161225.00	7.86
1468	-155867.00	7.60
1480	-149635.00	7.30
1492	-143999.00	7.02
1503	-139228.00	6.79
1515	-134151.00	6.54
1526	-134277.00	6.55
1537	-131036.00	6.39
1548	-124972.00	6.09
1560	-120978.00	5.90
1571	-116741.00	5.69
1583	-113778.00	5.55
1594	-109722.00	5.35
1606	-103115.00	5.03
1617	-95739.00	4.67
1628	-89597.00	4.37
1640	-83124.00	4.05
1651	-76987.00	3.75
1662	-69996.00	3.41
1681	-62238.00	3.04
1686	-56432.00	2.75
1697	-50513.00	2.46
1708	-46576.00	2.27
1719	-44502.00	2.17
1731	-40516.00	1.98
1742	-33055.00	1.61
1753	-26533.00	1.29
1764	-28596.00	1.39
1777	-28631.00	1.40
1788	-25946.00	1.27
1799	-20645.00	1.01
1811	-14494.00	0.71
1822	-8539.00	0.42
1833	-4604.00	0.22
1844	-3248.00	0.16
1856	-2429.00	0.12
1868	-1237.00	0.06
1879	-356.00	0.02
1890	-267.00	0.01
1902	56.00	-0.00
1913	418.00	-0.02
1924	1000.00	-0.05
1935	1170.00	-0.06
1947	1596.00	-0.08
1965	2346.00	-0.11
1970	2596.00	-0.13
1982	2622.00	-0.13
1993	2633.00	-0.13
2004	2792.00	-0.14
2015	3090.00	-0.15
2027	3111.00	-0.15
2038	3244.00	-0.16
2049	3417.00	-0.17
2061	3589.00	-0.18
2073	3625.00	-0.18
2084	3674.00	-0.18
2095	3615.00	-0.18
2106	3618.00	-0.18
2118	3824.00	-0.19
2129	3842.00	-0.19
2140	3842.00	-0.19
2153	3889.00	-0.19
2164	3962.00	-0.19
2175	3915.00	-0.19
2186	3976.00	-0.19
2198	3875.00	-0.19
2209	3981.00	-0.19
2220	3932.00	-0.19
2231	3973.00	-0.19
2244	3988.00	-0.19
2262	4108.00	-0.20
2266	3981.00	-0.19
2277	3973.00	-0.19
2289	3963.00	-0.19
2300	3929.00	-0.19
2311	4056.00	-0.20
2323	3970.00	-0.19
2335	4084.00	-0.20
2346	4208.00	-0.21
2357	4190.00	-0.20
2369	4154.00	-0.20
2380	4157.00	-0.20
2391	4146.00	-0.20
2402	4107.00	-0.20
2414	4044.00	-0.20
2426	4030.00	-0.20
2437	4073.00	-0.20
2448	4062.00	-0.20
2460	3943.00	-0.19
2471	3979.00	-0.19
2482	4120.00	-0.20
2494	3996.00	-0.19
2505	4152.00	-0.20
2517	4214.00	-0.21
2528	3977.00	-0.19
2540	3886.00	-0.19
2557	3908.00	-0.19
2562	4093.00	-0.20
2573	4096.00	-0.20
2585	4031.00	-0.20
2596	3919.00	-0.19
2607	4107.00	-0.20
2619	4205.00	-0.21
2631	4131.00	-0.20
2642	4165.00	-0.20
2653	4018.00	-0.20
2665	4122.00	-0.20
2676	3956.00	-0.19
2687	3873.00	-0.19
2698	4096.00	-0.20
2711	4136.00	-0.20
2722	4085.00	-0.20
2733	4223.00	-0.21
2744	4244.00	-0.21
2756	4064.00	-0.20
2767	4006.00	-0.20
2778	3997.00	-0.19
2789	4061.00	-0.20
2802	4074.00	-0.20
2813	4060.00	-0.20
2824	3901.00	-0.19
2843	3999.00	-0.20
2847	4009.00	-0.20
2858	4074.00	-0.20
2869	4155.00	-0.20
2881	4076.00	-0.20
2893	4054.00	-0.20
2904	4106.00	-0.20
2915	4010.00	-0.20
2927	3964.00	-0.19
2938	3900.00	-0.19
2949	3976.00	-0.19
2960	3993.00	-0.19
2972	4079.00	-0.20
2984	4015.00	-0.20
2995	3950.00	-0.19
3007	4025.00	-0.20
3018	4109.00	-0.20
3029	4155.00	-0.20
3040	4183.00	-0.20
3052	4113.00	-0.20
3063	4124.00	-0.20
3075	4052.00	-0.20
3086	3979.00	-0.19
3098	4072.00	-0.20
3109	4124.00	-0.20
3120	4145.00	-0.20
3138	3935.00	-0.19
3143	4054.00	-0.20
3154	4040.00	-0.20
3166	4054.00	-0.20
3178	4027.00	-0.20
3189	4062.00	-0.20
3200	4029.00	-0.20
3211	4109.00	-0.20
3223	4144.00	-0.20
3234	4120.00	-0.20
3245	3904.00	-0.19
3256	3783.00	-0.18
3269	3887.00	-0.19
3280	4113.00	-0.20
3291	4059.00	-0.20
3302	4063.00	-0.20
3314	3919.00	-0.19
3325	3916.00	-0.19
3336	3998.00	-0.19
3348	4057.00	-0.20
3360	3985.00	-0.19
3371	4031.00	-0.20
3382	4059.00	-0.20
3394	4053.00	-0.20
3405	4066.00	-0.20
3424	3917.00	-0.19
3427	4013.00	-0.20
3439	4097.00	-0.20
3451	3986.00	-0.19
3462	3880.00	-0.19
3473	3978.00	-0.19
3485	4015.00	-0.20
3496	4041.00	-0.20
3507	4042.00	-0.20
3519	4075.00	-0.20
3530	3958.00	-0.19
3542	4009.00	-0.20
3553	3991.00	-0.19
3565	4097.00	-0.20
3576	4194.00	-0.20
3587	4018.00	-0.20
3598	3832.00	-0.19
3610	3934.00	-0.19
3621	4071.00	-0.20
3633	4065.00	-0.20
3644	3903.00	-0.19
3656	3823.00	-0.19
3667	3876.00	-0.19
3678	3932.00	-0.19
3690	4008.00	-0.20
3701	4101.00	-0.20
3718	4229.00	-0.21
3723	4159.00	-0.20
3736	3964.00	-0.19
3747	4034.00	-0.20
3758	4006.00	-0.20
3769	4013.00	-0.20
3781	3908.00	-0.19
3792	3934.00	-0.19
3803	3986.00	-0.19
3814	3991.00	-0.19
3827	3964.00	-0.19
3838	3935.00	-0.19
3849	3973.00	-0.19
3861	4052.00	-0.20
3872	3999.00	-0.20
3883	3876.00	-0.19
3894	3834.00	-0.19
3906	4038.00	-0.20
3918	4010.00	-0.20
3929	3942.00	-0.19
3940	3987.00	-0.19
3952	3896.00	-0.19
3963	4041.00	-0.20
3974	4005.00	-0.20
3985	3919.00	-0.19
3997	3867.00	-0.19
4021	3941.00	-0.19
4023	3916.00	-0.19
4032	3942.00	-0.19
4043	4113.00	-0.20
4054	4016.00	-0.20
4065	3967.00	-0.19
4077	4060.00	-0.20
4088	4161.00	-0.20
4100	4084.00	-0.20
4111	4067.00	-0.20
4123	3871.00	-0.19
4134	3891.00	-0.19
4145	4066.00	-0.20
4156	4122.00	-0.20
4168	3996.00	-0.19
4179	4066.00	-0.20
4191	3916.00	-0.19
4203	3880.00	-0.19
4214	3928.00	-0.19
4225	3913.00	-0.19
4236	3990.00	-0.19
4248	3968.00	-0.19
4259	4034.00	-0.20
4270	3932.00	-0.19
4282	3863.00	-0.19
4300	3817.00	-0.19
4305	3904.00	-0.19
4316	3996.00	-0.19
4328	4075.00	-0.20
4339	4094.00	-0.20
4350	3852.00	-0.19
4361	3874.00	-0.19
4373	3849.00	-0.19
4385	4063.00	-0.20
4396	4007.00	-0.20
4407	3827.00	-0.19
4419	3937.00	-0.19
